;;;;;;;;;;;;;;;;
ВПІ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
ФМФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(6);премії(6);заходи;;;;;;;;;;;;;
;2100;2242;150;;;;;;;;;;;;;
21394,18;4492;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФПМ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(4);премії(2);заходи;;;;;;;;;;;;;
;1700;450;;;;;;;;;;;;;;
23327;2150;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФСП;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(3);премії;заходи;;;;;;;;;;;;;
;1800;;96,25;;;;;;;;;;;;;
20318,55;1896,25;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ФТІ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(8);премії(2);заходи;;;;;;;;;;;;;
;4200;650;1316,15;;;;;;;;;;;;;
27505,51;6166,15;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ХТФ;;;;;;;;;;;;;;;;
надходження;витрати;;;;;;;;;;;;;;;
;матдоп(10);премії(1);заходи;;;;;;;;;;;;;
;5500;150;1876,95;;;;;;;;;;;;;
29322,17;7526,95;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ІСЗЗІ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
747,6;;;;;;;;;;;;;;;;
747,6;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Аспіранти,докторанти;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
32504,3;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
